"Inicio del informe","Fin del informe","Nombre de la campaña",Edad,Sexo,Inicio,Finalización,"Importe gastado (MXN)",Alcance,Frecuencia,Impresiones,"Clics en el enlace",Resultados,"Indicador de resultado","Costo por resultados","Costo por mil personas alcanzadas (MXN)","CPC (costo por clic en el enlace) (MXN)","Clientes potenciales","Clientes potenciales en Facebook","Registros completados","Registros completados en el sitio web","Clientes potenciales en el sitio web"
2020-05-17,2020-05-17,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.12,32,1.0625,34,1,,,,35,1.12,,,,,
2020-05-17,2020-05-17,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,74.64,1328,1.1257530120482,1495,11,2,actions:onsite_conversion.lead_grouped,37.32,56.20481928,6.78545455,2,2,,,
2020-05-17,2020-05-17,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,93.36,1312,1.1349085365854,1489,14,3,actions:onsite_conversion.lead_grouped,31.12,71.15853659,6.66857143,3,3,,,
2020-05-16,2020-05-16,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,3.84,41,1.0975609756098,45,,,,,93.65853659,,,,,,
2020-05-16,2020-05-16,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,8.48,58,1.1034482758621,64,,,,,146.20689655,,,,,,
2020-05-16,2020-05-16,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.09,1,1,1,,,,,90,,,,,,
2020-05-16,2020-05-16,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,24.92,126,1.1428571428571,144,1,1,actions:onsite_conversion.lead_grouped,24.92,197.77777778,24.92,1,1,,,
2020-05-16,2020-05-16,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,17.09,111,1.1261261261261,125,1,,,,153.96396396,17.09,,,,,
2020-05-16,2020-05-16,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,1.13,15,1.6,24,,,,,75.33333333,,,,,,
2020-05-16,2020-05-16,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,42.18,315,1.1269841269841,355,6,1,actions:onsite_conversion.lead_grouped,42.18,133.9047619,7.03,1,1,,,
2020-05-16,2020-05-16,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,61.84,330,1.1787878787879,389,8,2,actions:onsite_conversion.lead_grouped,30.92,187.39393939,7.73,2,2,,,
2020-05-16,2020-05-16,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.01,18,1.1111111111111,20,,,,,56.11111111,,,,,,
