,"cliente","Año-Mes","plataforma_abreviacion","inicio_reporte","fin_reporte","tipo_conversion","fuente_medio","Nombre_Campaña","llave_analytcis","conversiones","revenue","archivo"
9,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Directa","adsocialfb / 2003_rs_ecom_shackdayscadena_fb","2003_RS_ECOM_SHACKDAYSCADENA_13AL16_FB",,10,7205,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200309-20200316.xlsx"
10,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Asistida","adsocialfb / 2003_rs_ecom_shackdaysonline_fb","2003_RS_ECOM_SHACKDAYSONLINE_17Y18_FB",,3,10717.1,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
11,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Directa","adsocialfb / 2003_rs_ecom_shackdaysonline_fb","2003_RS_ECOM_SHACKDAYSONLINE_17Y18_FB",,6,25614.3,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200317-20200324.xlsx"
12,"RadioShack","2003_Marzo","DSP","2020-03-01","2020-03-08","Asistida","adsocial_herolense / 2003_rs_ao_ecommerce_promociones_marzo_dsp","2003_RS_Ecommerce_MKT_Promociones_Marzo_DSP",,1,150,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/1:03:2020 al 8:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200301-20200308.csv"
13,"RadioShack","2003_Marzo","DSP","2020-03-01","2020-03-08","Asistida","adsocial_dsp / 2003_rs_izettle_campaña_del_mes_dsp","2003_RS_IZETTLE_CAMPAÑA_DEL_MES_DSP",,1,150,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/1:03:2020 al 8:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200301-20200308.csv"
14,"RadioShack","2003_Marzo","FB","2020-03-01","2020-03-08","Asistida","adsocial_fb / 2003_rs_izettle_campaña_del_mes_fb","2003_RS_IZETTLE_CAMPAÑA_DEL_MES_FB",,1,999,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/1:03:2020 al 8:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200301-20200308.csv"
15,"RadioShack","2003_Marzo","DSP","2020-03-01","2020-03-08","Asistida","adsocial_dsp / 2003_rs_mercado pago_campaña_del_mes_dsp","2003_RS_MERCADO PAGO_CAMPAÑA_DEL_MES_DSP",,1,150,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/1:03:2020 al 8:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200301-20200308.csv"
16,"RadioShack","2003_Marzo","DSP","2020-03-17","2020-03-24","Asistida","adsocial_dsp / 2003_rs_mercado pago_campaña_del_mes_dsp","2003_RS_MERCADO PAGO_CAMPAÑA_DEL_MES_DSP",,2,246.2,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
0,"RadioShack","2003_Marzo","DSP","2020-03-09","2020-03-16","Asistida","adsocial_dsp / 2003_rs_mercado pago_campaña_del_mes_dsp","2003_RS_MERCADO PAGO_CAMPAÑA_DEL_MES_DSP",,1,389,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200309-20200316.csv"
1,"RadioShack","2003_Marzo","DSP","2020-03-17","2020-03-24","Directa","adsocial_dsp / 2003_rs_mercado pago_campaña_del_mes_dsp","2003_RS_MERCADO PAGO_CAMPAÑA_DEL_MES_DSP",,1,39,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200317-20200324.xlsx"
