,cliente_nomenclatura,campaña_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,semana,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue,dias_mes,dias_semana,inversion_diaria,inversion_semanal
31,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_fb,2003_gicsa_explanadaculiacan_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook,2020-03-01,2020-03-31,2020-03-05,2020-03-31,25.0,1720.0,0.0,43000.0,43000.0,43000.0,43000.0,0.0,25.0,,2020-03-09,2020-03-16,2020-03-09,2020-03-16,MXN,5319.49,58209.0,279.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-09,0.0,0.0,0.0,0.0,0,0,31,8,1387.0967741935483,11096.774193548386
32,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_sem,2003_gicsa_explanadaculiacan_pi_mkt_sem_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Google Search,2020-03-01,2020-03-31,2020-03-06,2020-03-31,12.0,1792.0,0.0,21500.0,21500.0,21500.0,21500.0,0.0,12.0,,2020-03-01,2020-03-08,2020-03-06,2020-03-08,MXN,37.3,15.0,5.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_sem_2020-03-01,0.0,0.0,0.0,0.0,0,0,31,3,693.5483870967741,2080.6451612903224
33,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_sem,2003_gicsa_explanadaculiacan_pi_mkt_sem_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Google Search,2020-03-01,2020-03-31,2020-03-06,2020-03-31,12.0,1792.0,0.0,21500.0,21500.0,21500.0,21500.0,0.0,12.0,,2020-03-17,2020-03-24,2020-03-17,2020-03-24,MXN,181.57,522.0,5.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_sem_2020-03-17,0.0,0.0,0.0,0.0,0,0,31,8,693.5483870967741,5548.387096774193
34,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_fb,2001_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Facebook,2020-01-01,2020-01-31,2020-01-02,2020-01-31,2.825,36421.0,0.0,38700.0,38700.0,38700.0,38700.0,0.0,2.825,,2020-01-01,2020-01-08,2020-01-02,2020-01-08,MXN,6659.599999999999,1145525.0,2187.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_fb_2020-01-01,0.0,0.0,0.0,0.0,0,0,31,7,1248.3870967741937,8738.709677419356
35,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_fb,2001_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Facebook,2020-01-01,2020-01-31,2020-01-03,2020-01-31,2.825,36421.0,0.0,38700.0,38700.0,38700.0,38700.0,0.0,2.825,,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,9586.48,1550672.0,2772.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_fb_2020-01-17,0.0,0.0,0.0,0.0,0,0,31,8,1248.3870967741937,9987.09677419355
36,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_fb,2001_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Facebook,2020-01-01,2020-01-31,2020-01-03,2020-01-31,2.825,36421.0,0.0,38700.0,38700.0,38700.0,38700.0,0.0,2.825,,2020-01-09,2020-01-16,2020-01-09,2020-01-16,MXN,10512.81,1608418.0,3503.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_fb_2020-01-09,0.0,0.0,0.0,0.0,0,0,31,8,1248.3870967741937,9987.09677419355
37,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_fb,2001_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Facebook,2020-01-01,2020-01-31,2020-01-03,2020-01-31,2.825,36421.0,0.0,38700.0,38700.0,38700.0,38700.0,0.0,2.825,,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,10046.770000000002,1699349.0,3104.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_fb_2020-01-25,0.0,0.0,0.0,0.0,0,0,31,7,1248.3870967741937,8738.709677419356
40,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_sem,2001_gicsa_explanadapachuca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Google Search,2020-01-01,2020-01-31,2019-09-06,2020-03-31,12.0,1075.0,0.0,12900.0,12900.0,12900.0,12900.0,0.0,12.0,,2020-01-01,2020-01-08,2020-01-01,2020-01-08,MXN,2564.22,11585.0,3514.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_sem_2020-01-01,0.0,0.0,0.0,0.0,0,0,31,8,416.1290322580645,3329.032258064516
41,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_sem,2001_gicsa_explanadapachuca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Google Search,2020-01-01,2020-01-31,2019-09-06,2020-03-31,12.0,1075.0,0.0,12900.0,12900.0,12900.0,12900.0,0.0,12.0,,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,3384.99,17650.0,3584.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_sem_2020-01-17,0.0,0.0,0.0,0.0,0,0,31,8,416.1290322580645,3329.032258064516
42,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_sem,2001_gicsa_explanadapachuca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Google Search,2020-01-01,2020-01-31,2019-09-06,2020-03-31,12.0,1075.0,0.0,12900.0,12900.0,12900.0,12900.0,0.0,12.0,,2020-01-09,2020-01-16,2020-01-09,2020-01-16,MXN,3891.36,14902.0,3152.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_sem_2020-01-09,0.0,0.0,0.0,0.0,0,0,31,8,416.1290322580645,3329.032258064516
