,cliente_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,semana,dias_mes,dias_semana,kpi_planeado_diario,kpi_planeado_semanal,inversion_plataforma_diaria,inversion_plataforma_semanal,inversion_AdOps_diaria,inversion_AdOps_semanal,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue
30,acer,2003_acer_intelgaming_pi_mkt_fb,2003_acer_intelgaming_pi_mkt_fb_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Facebook,2020-03-11,2020-03-31,2020-03-13,2020-03-31,3.26,14203.0,0.0,45500.0,45500.0,45500.0,45500.0,0.0,3.26,12,21,7,676.0,4732.0,2167.0,15169.0,2167.0,15169.0,2020-03-25,2020-03-31,2020-03-25,2020-03-31,MXN,10706.0,1353631.0,7296.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_fb_2020-03-25,0.0,0.0,0.0,0.0,0,0
31,acer,2003_acer_intelgaming_pi_mkt_fb,2003_acer_intelgaming_pi_mkt_fb_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Facebook,2020-03-11,2020-03-31,2020-03-13,2020-03-31,3.26,14203.0,0.0,45500.0,45500.0,45500.0,45500.0,0.0,3.26,10,21,4,676.0,2704.0,2167.0,8668.0,2167.0,8668.0,2020-03-09,2020-03-16,2020-03-13,2020-03-16,MXN,4278.0,542792.0,3169.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_fb_2020-03-09,0.0,0.0,0.0,0.0,0,0
32,acer,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-05,2020-03-16,2020-03-23,2020-03-24,9.0,500.0,0.0,4500.0,4500.0,6475.0,6475.0,0.0,9.0,11,12,2,42.0,84.0,375.0,750.0,540.0,1080.0,2020-03-17,2020-03-24,2020-03-23,2020-03-24,MXN,950.0,3247.5,170.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-17,0.0,0.0,0.0,0.0,0,0
33,acer,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-05,2020-03-16,2020-03-23,2020-03-31,9.0,500.0,0.0,4500.0,4500.0,6475.0,6475.0,0.0,9.0,12,12,7,42.0,294.0,375.0,2625.0,540.0,3780.0,2020-03-25,2020-03-31,2020-03-25,2020-03-31,MXN,3173.0,11242.0,555.5,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-25,0.0,0.0,0.0,0.0,0,0
34,acer,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-11,2020-03-31,2020-03-23,2020-03-24,9.0,578.0,0.0,5200.0,5200.0,6475.0,6475.0,0.0,9.0,11,21,2,28.0,56.0,248.0,496.0,308.0,616.0,2020-03-17,2020-03-24,2020-03-23,2020-03-24,MXN,950.0,3247.5,170.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-17,0.0,0.0,0.0,0.0,0,0
35,acer,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-11,2020-03-31,2020-03-23,2020-03-31,9.0,578.0,0.0,5200.0,5200.0,6475.0,6475.0,0.0,9.0,12,21,7,28.0,196.0,248.0,1736.0,308.0,2156.0,2020-03-25,2020-03-31,2020-03-25,2020-03-31,MXN,3173.0,11242.0,555.5,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-25,0.0,0.0,0.0,0.0,0,0
39,acer,2003_acer_liverpool_pi_mkt_fb,2003_acer_liverpool_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,liverpool,Facebook,2020-03-13,2020-03-16,2020-03-13,2020-03-16,3.26,3968.0,0.0,12750.0,12750.0,12750.0,12750.0,0.0,3.26,10,4,4,992.0,3968.0,3188.0,12752.0,3188.0,12752.0,2020-03-09,2020-03-16,2020-03-13,2020-03-16,MXN,5250.0,550313.0,4914.0,0.0,0.0,2003_acer_liverpool_pi_mkt_fb_2020-03-09,0.0,0.0,0.0,0.0,0,0
42,acer,2005_acer_nvidia_pi_mkt_fb,2005_acer_nvidia_pi_mkt_fb_V4,V4,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2005,Mayo,nvidia,Facebook,2020-05-18,2020-05-31,2020-05-18,2020-06-01,4.35,9005.0,0.0,39150.0,39150.0,39150.0,39150.0,0.0,4.35,20,14,7,643.0,4501.0,2796.0,19572.0,2796.0,19572.0,2020-05-25,2020-05-31,2020-05-25,2020-05-31,MXN,28358.0,3268342.0,37122.0,0.0,0.0,2005_acer_nvidia_pi_mkt_fb_2020-05-25,0.0,0.0,0.0,0.0,0,0
43,acer,2005_acer_nvidia_pi_mkt_fb,2005_acer_nvidia_pi_mkt_fb_V4,V4,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2005,Mayo,nvidia,Facebook,2020-05-18,2020-05-31,2020-05-18,2020-05-31,4.35,9005.0,0.0,39150.0,39150.0,39150.0,39150.0,0.0,4.35,19,14,7,643.0,4501.0,2796.0,19572.0,2796.0,19572.0,2020-05-17,2020-05-24,2020-05-18,2020-05-24,MXN,8822.0,920787.0,21824.0,0.0,0.0,2005_acer_nvidia_pi_mkt_fb_2020-05-17,0.0,0.0,0.0,0.0,0,0
45,acer,2003_acer_palacio_pi_mkt_fb,2003_acer_palacio_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,palacio,Facebook,2020-03-05,2020-03-15,2020-03-13,2020-03-15,3.26,3968.0,0.0,12750.0,12750.0,12750.0,12750.0,0.0,3.26,10,11,3,361.0,1083.0,1159.0,3477.0,1159.0,3477.0,2020-03-09,2020-03-16,2020-03-13,2020-03-15,MXN,5250.0,471788.0,3003.0,0.0,0.0,2003_acer_palacio_pi_mkt_fb_2020-03-09,0.0,0.0,0.0,0.0,0,0
