,cliente_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,semana,dias_mes,dias_semana,kpi_planeado_diario,kpi_planeado_semanal,inversion_plataforma_diaria,inversion_plataforma_semanal,inversion_AdOps_diaria,inversion_AdOps_semanal,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue
1277,od,2001_od_izettle_ppf_pfm_fb,2001_od_izettle_ppf_pfm_fb_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,izettle,Facebook,2020-01-08,2020-01-31,2020-01-10,2020-02-05,4.0,2300.0,0.0,9200.0,9200.0,9200.0,9200.0,0.0,4.0,4,24,7,96.0,672.0,383.0,2681.0,383.0,2681.0,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,1643.0,79356.0,197.0,0.0,0.0,2001_od_izettle_ppf_pfm_fb_2020-01-25,0.0,0.0,0.0,0.0,0,0
1278,od,2001_od_izettle_ppf_pfm_fb,2001_od_izettle_ppf_pfm_fb_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,izettle,Facebook,2020-01-08,2020-01-31,2020-01-10,2020-02-05,4.0,2300.0,0.0,10000.0,10000.0,9200.0,9200.0,0.0,4.0,3,24,8,96.0,768.0,417.0,3336.0,383.0,3064.0,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,3510.0,153613.0,638.0,0.0,0.0,2001_od_izettle_ppf_pfm_fb_2020-01-17,0.0,0.0,0.0,0.0,0,0
1279,od,2001_od_izettle_ppf_pfm_fb,2001_od_izettle_ppf_pfm_fb_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,izettle,Facebook,2020-01-08,2020-01-31,2020-01-10,2020-02-05,4.0,2300.0,0.0,10000.0,10000.0,9200.0,9200.0,0.0,4.0,2,24,7,96.0,672.0,417.0,2919.0,383.0,2681.0,2020-01-09,2020-01-16,2020-01-10,2020-01-16,MXN,3092.0,162043.0,433.0,0.0,0.0,2001_od_izettle_ppf_pfm_fb_2020-01-09,0.0,0.0,0.0,0.0,0,0
1280,od,2001_od_izettle_ppf_pfm_fb,2001_od_izettle_ppf_pfm_fb_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,izettle,Facebook,2020-01-08,2020-01-31,2020-01-10,2020-02-05,4.0,2300.0,0.0,10000.0,10000.0,9200.0,9200.0,0.0,4.0,4,24,7,96.0,672.0,417.0,2919.0,383.0,2681.0,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,1643.0,79356.0,197.0,0.0,0.0,2001_od_izettle_ppf_pfm_fb_2020-01-25,0.0,0.0,0.0,0.0,0,0
1281,od,2001_od_izettle_ppf_pfm_sem,2001_od_izettle_ppf_pfm_sem_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,izettle,Google Search,2020-01-08,2020-01-31,2019-01-25,2020-01-31,9.0,383.0,0.0,3450.0,3450.0,3450.0,3450.0,0.0,9.0,3,24,8,16.0,128.0,144.0,1152.0,144.0,1152.0,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,1240.0,2991.0,150.0,0.0,0.0,2001_od_izettle_ppf_pfm_sem_2020-01-17,0.0,0.0,0.0,0.0,0,0
1282,od,2001_od_izettle_ppf_pfm_sem,2001_od_izettle_ppf_pfm_sem_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,izettle,Google Search,2020-01-08,2020-01-31,2019-01-25,2020-01-31,9.0,383.0,0.0,3450.0,3450.0,3450.0,3450.0,0.0,9.0,2,24,8,16.0,128.0,144.0,1152.0,144.0,1152.0,2020-01-09,2020-01-16,2020-01-09,2020-01-16,MXN,793.0,1294.0,81.0,0.0,0.0,2001_od_izettle_ppf_pfm_sem_2020-01-09,0.0,0.0,0.0,0.0,0,0
1283,od,2001_od_izettle_ppf_pfm_sem,2001_od_izettle_ppf_pfm_sem_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,izettle,Google Search,2020-01-08,2020-01-31,2019-01-25,2020-01-31,9.0,383.0,0.0,3450.0,3450.0,3450.0,3450.0,0.0,9.0,4,24,7,16.0,112.0,144.0,1008.0,144.0,1008.0,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,1065.0,2867.0,151.0,0.0,0.0,2001_od_izettle_ppf_pfm_sem_2020-01-25,0.0,0.0,0.0,0.0,0,0
1284,od,2001_od_izettle_ppf_pfm_sem,2001_od_izettle_ppf_pfm_sem_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,izettle,Google Search,2020-01-08,2020-01-31,2019-01-25,2020-01-31,9.0,383.0,0.0,3750.0,3750.0,3450.0,3450.0,0.0,9.0,3,24,8,16.0,128.0,156.0,1248.0,144.0,1152.0,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,1240.0,2991.0,150.0,0.0,0.0,2001_od_izettle_ppf_pfm_sem_2020-01-17,0.0,0.0,0.0,0.0,0,0
1285,od,2001_od_izettle_ppf_pfm_sem,2001_od_izettle_ppf_pfm_sem_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,izettle,Google Search,2020-01-08,2020-01-31,2019-01-25,2020-01-31,9.0,383.0,0.0,3750.0,3750.0,3450.0,3450.0,0.0,9.0,2,24,8,16.0,128.0,156.0,1248.0,144.0,1152.0,2020-01-09,2020-01-16,2020-01-09,2020-01-16,MXN,793.0,1294.0,81.0,0.0,0.0,2001_od_izettle_ppf_pfm_sem_2020-01-09,0.0,0.0,0.0,0.0,0,0
1286,od,2001_od_izettle_ppf_pfm_sem,2001_od_izettle_ppf_pfm_sem_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,izettle,Google Search,2020-01-08,2020-01-31,2019-01-25,2020-01-31,9.0,383.0,0.0,3750.0,3750.0,3450.0,3450.0,0.0,9.0,4,24,7,16.0,112.0,156.0,1092.0,144.0,1008.0,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,1065.0,2867.0,151.0,0.0,0.0,2001_od_izettle_ppf_pfm_sem_2020-01-25,0.0,0.0,0.0,0.0,0,0
1287,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,275491.0,363.65,9986.35,10350.0,6727.5,6363.85,363.65,23.1,7,29,8,9500.0,76000.0,344.0,2752.0,219.0,1752.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,2188.0,60352.0,65.0,16.0,12548.55,2002_od_izettle_ppf_pfm_dsp_2020-02-17,16.0,0.0,12548.55,0.0,0,0
1288,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,275491.0,363.65,9986.35,10350.0,6727.5,6363.85,363.65,23.1,8,29,5,9500.0,47500.0,344.0,1720.0,219.0,1095.0,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,1090.0,30064.0,37.0,12.0,16468.55,2002_od_izettle_ppf_pfm_dsp_2020-02-25,12.0,0.0,16468.55,0.0,0,0
1289,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,275491.0,363.65,9986.35,10350.0,6727.5,6363.85,363.65,23.1,5,29,8,9500.0,76000.0,344.0,2752.0,219.0,1752.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,4092.0,112882.0,192.0,5.0,2623.93,2002_od_izettle_ppf_pfm_dsp_2020-02-01,5.0,0.0,2623.93,0.0,0,0
1290,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,275491.0,363.65,9986.35,10350.0,6727.5,6363.85,363.65,23.1,6,29,8,9500.0,76000.0,344.0,2752.0,219.0,1752.0,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,2438.0,67261.0,75.0,9.0,39365.16,2002_od_izettle_ppf_pfm_dsp_2020-02-09,9.0,0.0,39365.16,0.0,0,0
1291,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,275491.0,363.65,9986.35,10350.0,6727.5,6363.85,363.65,23.1,9,29,0,9500.0,0.0,344.0,0.0,219.0,0.0,2020-03-01,2020-03-08,2020-03-01,2020-02-29,MXN,208.0,5732.0,8.0,6.0,7655.95,2002_od_izettle_ppf_pfm_dsp_2020-03-01,0.0,6.0,0.0,7655.95,0,0
1292,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,275491.0,363.65,9986.35,10350.0,6727.5,6363.85,363.65,23.1,11,29,0,9500.0,0.0,344.0,0.0,219.0,0.0,2020-03-17,2020-03-24,2020-03-17,2020-02-29,MXN,0.0,0.0,0.0,7.0,9204.2,2002_od_izettle_ppf_pfm_dsp_2020-03-17,0.0,7.0,0.0,9204.2,0,0
1293,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,275491.0,363.65,9986.35,10350.0,6727.5,6363.85,363.65,23.1,12,29,0,9500.0,0.0,344.0,0.0,219.0,0.0,2020-03-25,2020-03-31,2020-03-25,2020-02-29,MXN,0.0,0.0,0.0,1.0,204.0,2002_od_izettle_ppf_pfm_dsp_2020-03-25,0.0,1.0,0.0,204.0,0,0
1294,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,275491.0,363.65,9986.35,10350.0,6727.5,6363.85,363.65,23.1,10,29,0,9500.0,0.0,344.0,0.0,219.0,0.0,2020-03-09,2020-03-16,2020-03-09,2020-02-29,MXN,0.0,1.0,0.0,9.0,15063.88,2002_od_izettle_ppf_pfm_dsp_2020-03-09,0.0,9.0,0.0,15063.88,0,0
1295,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,275491.0,0.0,11250.0,11250.0,6727.5,6363.85,363.65,23.1,7,29,8,9500.0,76000.0,388.0,3104.0,219.0,1752.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,2465.0,60352.0,65.0,16.0,12548.55,2002_od_izettle_ppf_pfm_dsp_2020-02-17,16.0,0.0,12548.55,0.0,0,0
1296,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,275491.0,0.0,11250.0,11250.0,6727.5,6363.85,363.65,23.1,8,29,5,9500.0,47500.0,388.0,1940.0,219.0,1095.0,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,1228.0,30064.0,37.0,12.0,16468.55,2002_od_izettle_ppf_pfm_dsp_2020-02-25,12.0,0.0,16468.55,0.0,0,0
1297,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,275491.0,0.0,11250.0,11250.0,6727.5,6363.85,363.65,23.1,5,29,8,9500.0,76000.0,388.0,3104.0,219.0,1752.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,4610.0,112882.0,192.0,5.0,2623.93,2002_od_izettle_ppf_pfm_dsp_2020-02-01,5.0,0.0,2623.93,0.0,0,0
1298,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,275491.0,0.0,11250.0,11250.0,6727.5,6363.85,363.65,23.1,6,29,8,9500.0,76000.0,388.0,3104.0,219.0,1752.0,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,2747.0,67261.0,75.0,9.0,39365.16,2002_od_izettle_ppf_pfm_dsp_2020-02-09,9.0,0.0,39365.16,0.0,0,0
1299,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,275491.0,0.0,11250.0,11250.0,6727.5,6363.85,363.65,23.1,9,29,0,9500.0,0.0,388.0,0.0,219.0,0.0,2020-03-01,2020-03-08,2020-03-01,2020-02-29,MXN,234.0,5732.0,8.0,6.0,7655.95,2002_od_izettle_ppf_pfm_dsp_2020-03-01,0.0,6.0,0.0,7655.95,0,0
1300,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,275491.0,0.0,11250.0,11250.0,6727.5,6363.85,363.65,23.1,11,29,0,9500.0,0.0,388.0,0.0,219.0,0.0,2020-03-17,2020-03-24,2020-03-17,2020-02-29,MXN,0.0,0.0,0.0,7.0,9204.2,2002_od_izettle_ppf_pfm_dsp_2020-03-17,0.0,7.0,0.0,9204.2,0,0
1301,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,275491.0,0.0,11250.0,11250.0,6727.5,6363.85,363.65,23.1,12,29,0,9500.0,0.0,388.0,0.0,219.0,0.0,2020-03-25,2020-03-31,2020-03-25,2020-02-29,MXN,0.0,0.0,0.0,1.0,204.0,2002_od_izettle_ppf_pfm_dsp_2020-03-25,0.0,1.0,0.0,204.0,0,0
1302,od,2002_od_izettle_ppf_pfm_dsp,2002_od_izettle_ppf_pfm_dsp_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,275491.0,0.0,11250.0,11250.0,6727.5,6363.85,363.65,23.1,10,29,0,9500.0,0.0,388.0,0.0,219.0,0.0,2020-03-09,2020-03-16,2020-03-09,2020-02-29,MXN,0.0,1.0,0.0,9.0,15063.88,2002_od_izettle_ppf_pfm_dsp_2020-03-09,0.0,9.0,0.0,15063.88,0,0
1303,od,2002_od_izettle_ppf_pfm_fb,2002_od_izettle_ppf_pfm_fb_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-03-01,4.0,2300.0,0.0,9200.0,9200.0,9200.0,9200.0,0.0,4.0,7,29,8,79.0,632.0,317.0,2536.0,317.0,2536.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,2898.0,163229.0,322.0,0.0,0.0,2002_od_izettle_ppf_pfm_fb_2020-02-17,0.0,0.0,0.0,0.0,0,0
1304,od,2002_od_izettle_ppf_pfm_fb,2002_od_izettle_ppf_pfm_fb_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-03-01,4.0,2300.0,0.0,9200.0,9200.0,9200.0,9200.0,0.0,4.0,8,29,5,79.0,395.0,317.0,1585.0,317.0,1585.0,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,1501.0,71559.0,165.0,0.0,0.0,2002_od_izettle_ppf_pfm_fb_2020-02-25,0.0,0.0,0.0,0.0,0,0
1305,od,2002_od_izettle_ppf_pfm_fb,2002_od_izettle_ppf_pfm_fb_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-03-01,4.0,2300.0,0.0,9200.0,9200.0,9200.0,9200.0,0.0,4.0,5,29,8,79.0,632.0,317.0,2536.0,317.0,2536.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,2071.0,165174.0,369.0,0.0,0.0,2002_od_izettle_ppf_pfm_fb_2020-02-01,0.0,0.0,0.0,0.0,0,0
1306,od,2002_od_izettle_ppf_pfm_fb,2002_od_izettle_ppf_pfm_fb_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-03-01,4.0,2300.0,0.0,9200.0,9200.0,9200.0,9200.0,0.0,4.0,6,29,8,79.0,632.0,317.0,2536.0,317.0,2536.0,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,1449.0,79895.0,284.0,0.0,0.0,2002_od_izettle_ppf_pfm_fb_2020-02-09,0.0,0.0,0.0,0.0,0,0
1307,od,2002_od_izettle_ppf_pfm_fb,2002_od_izettle_ppf_pfm_fb_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-03-01,4.35,2300.0,0.0,10000.0,10000.0,9200.0,9200.0,0.0,4.0,7,29,8,79.0,632.0,345.0,2760.0,317.0,2536.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,2898.0,163229.0,322.0,0.0,0.0,2002_od_izettle_ppf_pfm_fb_2020-02-17,0.0,0.0,0.0,0.0,0,0
1308,od,2002_od_izettle_ppf_pfm_fb,2002_od_izettle_ppf_pfm_fb_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-03-01,4.35,2300.0,0.0,10000.0,10000.0,9200.0,9200.0,0.0,4.0,8,29,5,79.0,395.0,345.0,1725.0,317.0,1585.0,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,1501.0,71559.0,165.0,0.0,0.0,2002_od_izettle_ppf_pfm_fb_2020-02-25,0.0,0.0,0.0,0.0,0,0
1309,od,2002_od_izettle_ppf_pfm_fb,2002_od_izettle_ppf_pfm_fb_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-03-01,4.35,2300.0,0.0,10000.0,10000.0,9200.0,9200.0,0.0,4.0,5,29,8,79.0,632.0,345.0,2760.0,317.0,2536.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,2071.0,165174.0,369.0,0.0,0.0,2002_od_izettle_ppf_pfm_fb_2020-02-01,0.0,0.0,0.0,0.0,0,0
1310,od,2002_od_izettle_ppf_pfm_fb,2002_od_izettle_ppf_pfm_fb_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-03-01,4.35,2300.0,0.0,10000.0,10000.0,9200.0,9200.0,0.0,4.0,6,29,8,79.0,632.0,345.0,2760.0,317.0,2536.0,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,1449.0,79895.0,284.0,0.0,0.0,2002_od_izettle_ppf_pfm_fb_2020-02-09,0.0,0.0,0.0,0.0,0,0
1311,od,2002_od_izettle_ppf_pfm_sem,2002_od_izettle_ppf_pfm_sem_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.0,383.0,0.0,3450.0,3450.0,3450.0,3450.0,0.0,9.0,7,29,8,13.0,104.0,119.0,952.0,119.0,952.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,575.0,2031.0,98.0,0.0,0.0,2002_od_izettle_ppf_pfm_sem_2020-02-17,0.0,0.0,0.0,0.0,0,0
1312,od,2002_od_izettle_ppf_pfm_sem,2002_od_izettle_ppf_pfm_sem_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.0,383.0,0.0,3450.0,3450.0,3450.0,3450.0,0.0,9.0,8,29,5,13.0,65.0,119.0,595.0,119.0,595.0,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,859.0,3127.0,140.0,0.0,0.0,2002_od_izettle_ppf_pfm_sem_2020-02-25,0.0,0.0,0.0,0.0,0,0
1313,od,2002_od_izettle_ppf_pfm_sem,2002_od_izettle_ppf_pfm_sem_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.0,383.0,0.0,3450.0,3450.0,3450.0,3450.0,0.0,9.0,5,29,8,13.0,104.0,119.0,952.0,119.0,952.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,402.0,1180.0,66.0,0.0,0.0,2002_od_izettle_ppf_pfm_sem_2020-02-01,0.0,0.0,0.0,0.0,0,0
1314,od,2002_od_izettle_ppf_pfm_sem,2002_od_izettle_ppf_pfm_sem_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.0,383.0,0.0,3450.0,3450.0,3450.0,3450.0,0.0,9.0,6,29,8,13.0,104.0,119.0,952.0,119.0,952.0,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,382.0,925.0,61.0,0.0,0.0,2002_od_izettle_ppf_pfm_sem_2020-02-09,0.0,0.0,0.0,0.0,0,0
1315,od,2002_od_izettle_ppf_pfm_sem,2002_od_izettle_ppf_pfm_sem_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.78,383.0,0.0,3750.0,3750.0,3450.0,3450.0,0.0,9.0,7,29,8,13.0,104.0,129.0,1032.0,119.0,952.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,575.0,2031.0,98.0,0.0,0.0,2002_od_izettle_ppf_pfm_sem_2020-02-17,0.0,0.0,0.0,0.0,0,0
1316,od,2002_od_izettle_ppf_pfm_sem,2002_od_izettle_ppf_pfm_sem_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.78,383.0,0.0,3750.0,3750.0,3450.0,3450.0,0.0,9.0,8,29,5,13.0,65.0,129.0,645.0,119.0,595.0,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,859.0,3127.0,140.0,0.0,0.0,2002_od_izettle_ppf_pfm_sem_2020-02-25,0.0,0.0,0.0,0.0,0,0
1317,od,2002_od_izettle_ppf_pfm_sem,2002_od_izettle_ppf_pfm_sem_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.78,383.0,0.0,3750.0,3750.0,3450.0,3450.0,0.0,9.0,5,29,8,13.0,104.0,129.0,1032.0,119.0,952.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,402.0,1180.0,66.0,0.0,0.0,2002_od_izettle_ppf_pfm_sem_2020-02-01,0.0,0.0,0.0,0.0,0,0
1318,od,2002_od_izettle_ppf_pfm_sem,2002_od_izettle_ppf_pfm_sem_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,izettle,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.78,383.0,0.0,3750.0,3750.0,3450.0,3450.0,0.0,9.0,6,29,8,13.0,104.0,129.0,1032.0,119.0,952.0,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,382.0,925.0,61.0,0.0,0.0,2002_od_izettle_ppf_pfm_sem_2020-02-09,0.0,0.0,0.0,0.0,0,0
1319,od,2003_od_izettle_ppf_pfm_dsp,2003_od_izettle_ppf_pfm_dsp_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,izettle,Programmatic,2020-03-01,2020-03-31,2020-03-01,2020-03-31,36.25,257125.0,339.41,9320.59,9660.0,6279.0,5939.59,339.41,23.1,9,31,8,8294.0,66352.0,301.0,2408.0,192.0,1536.0,2020-03-01,2020-03-08,2020-03-01,2020-03-08,MXN,2695.0,74335.0,127.0,2.0,1087.6,2003_od_izettle_ppf_pfm_dsp_2020-03-01,2.0,0.0,1087.6,0.0,0,0
1320,od,2003_od_izettle_ppf_pfm_dsp,2003_od_izettle_ppf_pfm_dsp_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,izettle,Programmatic,2020-03-01,2020-03-31,2020-03-01,2020-03-31,36.25,257125.0,339.41,9320.59,9660.0,6279.0,5939.59,339.41,23.1,11,31,8,8294.0,66352.0,301.0,2408.0,192.0,1536.0,2020-03-17,2020-03-24,2020-03-17,2020-03-24,MXN,2971.0,81951.0,88.0,9.0,21913.51,2003_od_izettle_ppf_pfm_dsp_2020-03-17,9.0,0.0,21913.51,0.0,0,0
